Date,Revenue,COGS
2023-01-01,2960744.89,2747990.57
2023-01-02,1943706.1,1743309.9
2023-01-03,1289011.02,1109554.3
2023-01-04,1222980.28,1005782.89
2023-01-05,1369736.67,1111754.28
2023-01-06,1440286.4,1184169.94
2023-01-07,1590403.38,1305672.89
2023-01-08,1857638.37,1540316.03
2023-01-09,2018355.26,1698004.84
2023-01-10,2040909.7,1699149.09
2023-01-11,2050692.14,1693163.13
2023-01-12,1918741.39,1552141.24
2023-01-13,2030441.13,1656231.79
2023-01-14,1973264.44,1629701.23
2023-01-15,2177871.21,1840715.98
2023-01-16,2327508.24,1941824.84
2023-01-17,2314540.76,1917525.21
2023-01-18,2175680.3,1794171.3
2023-01-19,1997366.96,1658762.93
2023-01-20,2107680.91,1722138.13
2023-01-21,2287112.31,1888448.67
2023-01-22,2490452.4,2127110.68
2023-01-23,2571020.81,2164228.63
2023-01-24,2749785.45,2293209.91
2023-01-25,2635326.41,2206248.65
2023-01-26,2684915.34,2228669.22
2023-01-27,3017172.06,2478111.11
2023-01-28,3811674.27,3161740.4
2023-01-29,4349930.82,3628628.14
2023-01-30,4174669.36,3486445.78
2023-01-31,3691355.52,3086253.21
2023-02-01,3215562.5,2635307.03
2023-02-02,2330371.31,1918399.35
2023-02-03,1660451.69,1364612.42
2023-02-04,1813840.26,1490689.56
2023-02-05,2151408.31,1766020.28
2023-02-06,2367943.44,1932702.32
2023-02-07,2502642.14,2038039.85
2023-02-08,2507469.25,2080800.88
2023-02-09,2413858.31,1961031.25
2023-02-10,2323432.53,1879214.61
2023-02-11,2499358.27,2054317.64
2023-02-12,2820192.48,2330922.36
2023-02-13,3150213.28,2600190.94
2023-02-14,3318097.8,2746233.74
2023-02-15,3114772.65,2554353.74
2023-02-16,2998477.63,2462669.22
2023-02-17,2882183.23,2310096.86
2023-02-18,2960462.61,2426648.56
2023-02-19,3243134.99,2684056.06
2023-02-20,3733327.85,3062354.6
2023-02-21,3580056.78,2956872.0
2023-02-22,3643896.95,3011757.89
2023-02-23,3874069.2,3170928.29
2023-02-24,3839195.31,3130083.69
2023-02-25,4893300.41,4055377.61
2023-02-26,5232806.49,4391219.62
2023-02-27,5338090.94,4480407.6
2023-02-28,4627468.82,3814278.21
2023-03-01,3633719.46,2999281.63
2023-03-02,2276283.08,1884802.68
2023-03-03,1416426.27,1160832.65
2023-03-04,1989389.73,1613289.8
2023-03-05,2394537.98,1972048.15
2023-03-06,3104143.85,2530360.66
2023-03-07,3512876.28,2878410.86
2023-03-08,3807961.04,3090797.73
2023-03-09,3807309.78,3074494.88
2023-03-10,3621194.07,2943521.96
2023-03-11,3866442.98,3171741.97
2023-03-12,4124641.1,3418896.78
2023-03-13,4423885.84,3680198.16
2023-03-14,4988869.54,4131167.79
2023-03-15,5049224.11,4179552.42
2023-03-16,4769128.13,3979920.83
2023-03-17,5117769.29,4190596.46
2023-03-18,5060872.99,4228706.27
2023-03-19,4763635.33,4049733.6
2023-03-20,5060343.11,4362385.95
2023-03-21,5094215.15,4493070.96
2023-03-22,5213406.45,4716382.06
2023-03-23,5262582.5,4713868.43
2023-03-24,5202461.91,4657030.57
2023-03-25,5264779.69,4786899.05
2023-03-26,5337726.01,4915044.9
2023-03-27,5480755.46,4977411.35
2023-03-28,5481150.35,5015150.46
2023-03-29,5937253.67,5567753.38
2023-03-30,10453318.72,9724179.96
2023-03-31,9738892.95,9282581.21
2023-04-01,9281279.22,8824165.66
2023-04-02,8941414.61,8361849.65
2023-04-03,7869434.6,7291790.56
2023-04-04,3358177.92,3108138.46
2023-04-05,3311838.55,3000515.66
2023-04-06,3582114.37,3222684.02
2023-04-07,3604280.48,3225243.33
2023-04-08,3892946.37,3542722.43
2023-04-09,4306399.82,3952679.63
2023-04-10,4572226.86,4213351.28
2023-04-11,4967478.0,4584853.45
2023-04-12,4819899.56,4487259.77
2023-04-13,5150127.18,4749335.09
2023-04-14,5335859.41,4838791.73
2023-04-15,5302807.31,4729943.6
2023-04-16,5354130.83,4639702.96
2023-04-17,5758248.01,4902973.42
2023-04-18,5737529.76,4774789.58
2023-04-19,5773610.05,4871901.14
2023-04-20,5636014.07,4684608.03
2023-04-21,5460191.63,4578217.17
2023-04-22,5553100.02,4661876.38
2023-04-23,5959462.74,5010089.45
2023-04-24,6059261.29,5131682.13
2023-04-25,6500359.02,5451127.91
2023-04-26,6713038.28,5710081.41
2023-04-27,7296359.83,6105250.42
2023-04-28,7838316.55,6599063.67
2023-04-29,10295907.72,8656442.69
2023-04-30,9316142.12,7995246.29
2023-05-01,8638688.69,7204611.29
2023-05-02,7820180.76,6565043.7
2023-05-03,6692123.3,5497820.27
2023-05-04,3359653.44,2680454.51
2023-05-05,3858538.56,2982803.54
2023-05-06,3946789.52,3160854.48
2023-05-07,4468822.32,3616797.18
2023-05-08,4534348.44,3664374.12
2023-05-09,5020456.73,4035561.76
2023-05-10,5359939.23,4311898.49
2023-05-11,5267173.17,4305701.65
2023-05-12,5351245.74,4343280.51
2023-05-13,5523776.68,4522482.33
2023-05-14,5787957.14,4773714.23
2023-05-15,5956610.82,4920637.59
2023-05-16,6007653.89,4947469.08
2023-05-17,6242736.76,5165901.47
2023-05-18,5990225.92,4976456.47
2023-05-19,5667404.05,4586173.9
2023-05-20,5576206.6,4617754.7
2023-05-21,5714725.78,4769044.81
2023-05-22,6035785.17,4994272.19
2023-05-23,6315111.03,5278554.19
2023-05-24,6299634.16,5274829.3
2023-05-25,6469240.24,5409118.55
2023-05-26,6211312.33,5087046.99
2023-05-27,5963176.86,4951031.83
2023-05-28,6213213.03,5242257.36
2023-05-29,6894217.78,5833743.79
2023-05-30,10951539.38,9370947.08
2023-05-31,11026152.91,9353886.44
2023-06-01,10894657.46,9310098.09
2023-06-02,9817856.17,8319774.91
2023-06-03,8620795.14,7170997.55
2023-06-04,4072942.83,3370592.66
2023-06-05,4303544.55,3533318.6
2023-06-06,4647367.71,3820604.42
2023-06-07,4786598.97,3969320.93
2023-06-08,5040540.81,4113543.63
2023-06-09,4762767.04,3857323.45
2023-06-10,5117569.58,4178913.16
2023-06-11,5323513.89,4329932.13
2023-06-12,5338612.42,4422942.32
2023-06-13,5515015.28,4666430.59
2023-06-14,5940198.05,5007957.48
2023-06-15,5891961.83,4893545.33
2023-06-16,5813010.81,4887652.61
2023-06-17,5865512.89,4878540.25
2023-06-18,5857578.25,4864177.46
2023-06-19,5641593.25,4676571.39
2023-06-20,5406723.46,4572121.64
2023-06-21,5751823.71,4878787.65
2023-06-22,5886736.83,4886505.11
2023-06-23,5622200.43,4760066.01
2023-06-24,5831027.78,5098775.72
2023-06-25,5612992.52,5092280.16
2023-06-26,5574638.76,5219487.47
2023-06-27,5615923.07,5570985.15
2023-06-28,6264681.84,6265354.72
2023-06-29,8161348.46,8141480.51
2023-06-30,6837457.62,6859385.88
2023-07-01,6206990.93,6464377.67
2023-07-02,5686095.98,5881028.6
2023-07-03,4911353.78,5038547.69
2023-07-04,1615874.75,1663516.27
2023-07-05,2145212.62,2150933.41
2023-07-06,2364332.44,2384156.25
2023-07-07,2732401.33,2738798.87
2023-07-08,2714588.05,2751366.55
2023-07-09,3298897.5,3342653.46
2023-07-10,3607400.18,3648320.87
2023-07-11,3995845.91,4037858.24
2023-07-12,3946176.59,4020795.51
2023-07-13,3696636.97,3724437.11
2023-07-14,3649305.57,3653905.31
2023-07-15,3877012.1,3917379.32
2023-07-16,3885804.86,3939655.2
2023-07-17,4103571.38,4160029.12
2023-07-18,4213257.41,4265064.01
2023-07-19,4209131.64,4161101.46
2023-07-20,4383415.69,4147180.87
2023-07-21,4270893.54,3931322.55
2023-07-22,4366542.56,3921888.69
2023-07-23,4778982.01,4239419.6
2023-07-24,4805304.6,4159451.89
2023-07-25,4855140.04,4198334.57
2023-07-26,5160910.4,4454251.19
2023-07-27,5126239.13,4397169.64
2023-07-28,4748695.79,4110186.36
2023-07-29,4978592.46,4404241.27
2023-07-30,5378208.28,5114725.29
2023-07-31,6507337.26,6520617.96
2023-08-01,6309587.48,6697539.48
2023-08-02,6038752.35,6680426.43
2023-08-03,5197676.51,5926564.5
2023-08-04,4176368.19,4830633.8
2023-08-05,2277289.46,2615231.88
2023-08-06,2375933.55,2794125.8
2023-08-07,2634343.25,3025722.88
2023-08-08,2600329.86,2987158.26
2023-08-09,2682510.19,3096996.6
2023-08-10,2718826.46,3098369.59
2023-08-11,2867578.65,3332618.56
2023-08-12,2940660.12,3353435.61
2023-08-13,2784138.61,3272330.03
2023-08-14,3210937.26,3695581.05
2023-08-15,3320566.04,3871154.48
2023-08-16,3299710.87,3867123.61
2023-08-17,3323663.98,3885410.96
2023-08-18,3400887.18,3846578.49
2023-08-19,3051140.62,3522336.17
2023-08-20,3298321.8,3889429.76
2023-08-21,3375580.14,3970911.32
2023-08-22,3505661.71,4047521.66
2023-08-23,3213684.0,3801894.83
2023-08-24,3251853.71,3868169.53
2023-08-25,3330204.17,3820205.07
2023-08-26,3046448.77,3540988.73
2023-08-27,3438234.46,4022564.99
2023-08-28,5949820.24,6720375.86
2023-08-29,6706726.85,7571211.17
2023-08-30,6976630.69,7940300.46
2023-08-31,7035968.9,7973730.72
2023-09-01,6095488.65,6727373.02
2023-09-02,3110530.59,3385944.7
2023-09-03,2432296.0,2388530.31
2023-09-04,2689960.15,2541182.41
2023-09-05,3003172.61,2841722.52
2023-09-06,3101302.32,2902965.75
2023-09-07,2956168.22,2756900.74
2023-09-08,3256580.5,2990308.16
2023-09-09,3374207.31,3087024.48
2023-09-10,3312068.7,3061324.1
2023-09-11,3658505.5,3382344.51
2023-09-12,3979307.39,3626518.64
2023-09-13,3782924.38,3461448.58
2023-09-14,3688072.84,3411346.89
2023-09-15,3542616.79,3192184.45
2023-09-16,3380292.74,3111516.1
2023-09-17,3218215.89,3006262.15
2023-09-18,3680025.68,3384314.78
2023-09-19,3732297.95,3456121.95
2023-09-20,3453165.63,3238409.34
2023-09-21,3856668.09,3545289.66
2023-09-22,3495141.68,3196695.88
2023-09-23,3511565.16,3264844.6
2023-09-24,3642978.91,3392722.93
2023-09-25,4258778.13,3989661.09
2023-09-26,4564324.3,4219673.84
2023-09-27,5415388.14,5042983.2
2023-09-28,5647233.73,5277256.97
2023-09-29,4645892.81,4314144.45
2023-09-30,4201731.57,3853027.84
2023-10-01,3535492.39,3157566.59
2023-10-02,2494616.42,2130872.59
2023-10-03,2542865.13,2147487.36
2023-10-04,2808789.58,2337956.52
2023-10-05,2665296.98,2211660.99
2023-10-06,2705854.13,2235714.01
2023-10-07,2710817.25,2206701.38
2023-10-08,2782134.89,2305699.79
2023-10-09,2832013.94,2381754.09
2023-10-10,3101038.57,2583055.64
2023-10-11,3141579.6,2600675.52
2023-10-12,3082199.19,2549294.87
2023-10-13,3097369.29,2561465.07
2023-10-14,3010310.78,2477868.9
2023-10-15,2983083.29,2468200.7
2023-10-16,3222391.57,2676896.75
2023-10-17,3087429.63,2586167.91
2023-10-18,3379782.79,2799900.87
2023-10-19,3192009.18,2634201.86
2023-10-20,3142328.49,2598738.64
2023-10-21,2944800.52,2466689.32
2023-10-22,3192936.22,2691354.79
2023-10-23,3082527.5,2586148.3
2023-10-24,3244040.79,2741288.91
2023-10-25,3586401.28,2948409.46
2023-10-26,3309636.01,2762616.98
2023-10-27,3295992.84,2805082.77
2023-10-28,4282967.35,3644188.37
2023-10-29,5005440.99,4215257.95
2023-10-30,4841667.56,4086629.45
2023-10-31,4861188.89,4052214.15
2023-11-01,4324751.62,3720220.82
2023-11-02,2762167.87,2372141.3
2023-11-03,1754616.9,1507301.17
2023-11-04,1961501.43,1703628.49
2023-11-05,2408435.77,2099725.85
2023-11-06,2436405.48,2094039.27
2023-11-07,2446306.19,2127308.49
2023-11-08,2398500.8,2066427.47
2023-11-09,2495591.31,2147965.05
2023-11-10,2606385.17,2222992.02
2023-11-11,2577676.57,2242482.51
2023-11-12,2872603.98,2541138.44
2023-11-13,3051093.51,2666975.51
2023-11-14,2874625.05,2496913.5
2023-11-15,2678515.17,2327655.27
2023-11-16,2421260.94,2115230.86
2023-11-17,2389271.92,2092675.79
2023-11-18,2453273.46,2201174.04
2023-11-19,2344316.7,2211164.55
2023-11-20,2344870.71,2259980.13
2023-11-21,2109492.24,2107587.25
2023-11-22,1969605.35,2018457.11
2023-11-23,1705723.01,1790806.77
2023-11-24,1774469.26,1811488.96
2023-11-25,1992726.53,2031816.25
2023-11-26,2370340.59,2465171.72
2023-11-27,3007389.62,3111806.91
2023-11-28,3266798.29,3379057.7
2023-11-29,2841572.19,2960007.49
2023-11-30,2515094.92,2603658.96
2023-12-01,1982774.94,2050822.62
2023-12-02,1446033.72,1502573.53
2023-12-03,1318371.64,1366766.39
2023-12-04,1426065.54,1462715.79
2023-12-05,1551769.91,1612786.48
2023-12-06,1595022.46,1638483.86
2023-12-07,1387737.75,1459963.12
2023-12-08,1471168.31,1525796.83
2023-12-09,1651694.35,1704206.08
2023-12-10,1815365.81,1891784.85
2023-12-11,1852912.71,1953870.87
2023-12-12,2107877.79,2214171.56
2023-12-13,2030965.38,2119628.53
2023-12-14,2023023.39,2092026.53
2023-12-15,1941070.75,2015829.62
2023-12-16,2112788.46,2194244.43
2023-12-17,2205707.15,2302307.2
2023-12-18,2262649.58,2364130.75
2023-12-19,2492433.82,2563442.0
2023-12-20,2583805.07,2631920.72
2023-12-21,2499050.16,2566968.68
2023-12-22,2408000.06,2466657.34
2023-12-23,2209579.13,2275127.57
2023-12-24,1970928.38,2044016.94
2023-12-25,2035531.61,2127980.07
2023-12-26,2282852.0,2366824.42
2023-12-27,2781140.13,2883000.62
2023-12-28,4086166.72,4286437.51
2023-12-29,4698275.15,4940888.07
