feature,mean_abs_shap,target,surrogate_r2
Revenue_anchor,1525426.247925977,Revenue,0.998997627421057
Revenue_analog,131669.9111962055,Revenue,0.998997627421057
COGS_anchor,27937.916456427338,Revenue,0.998997627421057
COGS_analog,19279.818885983877,Revenue,0.998997627421057
revenue_anchor_gap,2418.031356988066,Revenue,0.998997627421057
cogs_anchor_gap,1807.899050445812,Revenue,0.998997627421057
cogs_analog_ratio,1251.0124470403555,Revenue,0.998997627421057
day,1242.0435044261535,Revenue,0.998997627421057
dow,1123.4921996436944,Revenue,0.998997627421057
cogs_anchor_ratio,997.1032360955452,Revenue,0.998997627421057
dayofyear,837.3411243144138,Revenue,0.998997627421057
month,355.66819416212996,Revenue,0.998997627421057
year,219.84791114819296,Revenue,0.998997627421057
is_weekend,189.46949445845613,Revenue,0.998997627421057
is_q2plus,137.4010752196281,Revenue,0.998997627421057
is_month_start,0.0,Revenue,0.998997627421057
is_month_end,0.0,Revenue,0.998997627421057
COGS_anchor,1374494.0927766017,COGS,0.9992224423741162
COGS_analog,33342.015263103924,COGS,0.9992224423741162
Revenue_analog,19510.039340154533,COGS,0.9992224423741162
revenue_anchor_gap,4059.8395768228806,COGS,0.9992224423741162
cogs_anchor_gap,3871.657345864812,COGS,0.9992224423741162
Revenue_anchor,2788.894781433534,COGS,0.9992224423741162
day,1913.4351346485666,COGS,0.9992224423741162
cogs_analog_ratio,1270.0889379298933,COGS,0.9992224423741162
cogs_anchor_ratio,1045.1464571704273,COGS,0.9992224423741162
dayofyear,576.0263514716629,COGS,0.9992224423741162
dow,535.0637804982183,COGS,0.9992224423741162
month,383.18395063815956,COGS,0.9992224423741162
year,240.06951454736284,COGS,0.9992224423741162
is_q2plus,109.19198632099277,COGS,0.9992224423741162
is_weekend,108.31227053338868,COGS,0.9992224423741162
is_month_start,9.481019081355882,COGS,0.9992224423741162
is_month_end,0.0,COGS,0.9992224423741162
